Medicine Name,Category Name,Item Type,Opening Stock,Purchase Qty,Closing Quantity
DULCOFLEX 10MG SUPPOSITORY FOR ADULTS - 5'S,GENERAL SURGERY,STRIP,7::0,10::0,0
DOPAR 200MG INJECTION,GENERAL MEDICINE,AMPOULE,5::0,5::0,5
DOXIMYCIN TAB,GENERAL MEDICINE,METER,0::0,2::0,0
DOXINATE 24 TABLET 15'S,OBGY,TAB,0::1,120::0,0
DOXINATE PLUS STRIP OF 30 TABLETS,OBGY,STRIP,6::14,440::0,19
DOXINATE STRIP OF 30 TABLETS,OBGY,STRIP,1::0,4::0,0
DOXOLIN 400MG STRIP OF 30 TABLETS,GENERAL MEDICINE,STRIP,1::0,1::0,1
DOXT SL 100MG STRIP OF 10 CAPSULES,GENERAL MEDICINE,STRIP,0::15,8::0,0
DOXYGLEX,GENERAL MEDICINE,STRIP,0::0,21::0,0
DOXYLAB STRIP OF 8 CAPSULES,GENERAL MEDICINE,INJ,4::0,6::0,4
DOXYLAB STRIP OF 8 TABLETS,GENERAL MEDICINE,STRIP,0::4,20::0,0
DOXYMYCIN,GENERAL MEDICINE,STRIP,0::1,20::0,0
DOXYTREAT LB,GENERAL MEDICINE,TAB,0::0,10::0,0
DOXYWELL 100MG,GENERAL MEDICINE,CAP,0::5,20::0,0
DREP WAX EAR DROPS 10ML,ENT,TAB,1::1,20::0,1
DROGYNA STRIP OF 10 TABLETS,GENERAL MEDICINE,BOTTLE,2::0,2::0,2
DROGYNA STRIP OF 8 TABLETS,GENERAL MEDICINE,TAB,9::5,45::0,2
DROTIN INJECTION,GENERAL MEDICINE,STRIP,0::0,27::0,0
DULCOFLEX 10MG SUPPOSITORY FOR ADULTS - 5'S,GENERAL MEDICINE,AMPOULE,3::0,0::0,3
DULCOFLEX 5MG SUPPOSITORY FOR CHILDREN - 5'S,PED,STRIP,0::3,10::0,0
DULCOLAX 5MG SUPPOS CHILD,PED,STRIP,0::0,15::0,3
DUOLIN,GENERAL MEDICINE,STRIP,11::0,15::0,4
DUOLIN 3 PACKET OF 5*3ML RESPULES,GENERAL MEDICINE,RESPULS,6::0,55::0,6
DUOLIN ROTACAP,GENERAL MEDICINE,PACKET,0::0,385::0,0
DUONEM ER 300MG STRIP OF 6 TABLETS,GENERAL MEDICINE,STRIP,0::0,4::0,0
DUOSURE TUBE OF 30GM GEL,GENERAL MEDICINE,STRIP,0::0,1::0,0
DUPHALAC BULK BOTTLE OF 160ML SOLUTION,GENERAL MEDICINE,TUBE,0::0,12::0,0
DUPHALAC FIBER SOLUTION 200ML,GENERAL MEDICINE,BOTTLE,3::0,46::0,3
DUPHALAC SOLUTION 150ML,GENERAL MEDICINE,BOTTLE,1::0,3::0,0
DUPHALAC SOLUTION 250ML,GENERAL MEDICINE,BOTTLE,0::0,25::0,4
DURACREPE 15CMX4M,HOSPITAL CPMH,BOTTLE,0::0,4::0,0
DUTAS 0.5MG STRIP OF 30 CAPSULES,GENERAL MEDICINE,BANDAGE,1::0,60::0,1
DUVADILAN INJ 2ML,OBGY,PACKET,0::0,20::0,0
DUVADILAN RETARD 40MG CAP,OBGY,STRIP,1::0,1::0,1
DVIT 60K,GENERAL MEDICINE,AMPOULE,0::0,1::0,0
DVIT 60K ORAL SOLUTION 5ML BOTTLE,GENERAL MEDICINE,STRIP,9::3,262::0,7
DVITAL 60K STRIP OF 4 TABLETS,GENERAL MEDICINE,SACHET,0::0,6::0,0
DVN PLUS TABLET,GENERAL MEDICINE,5ML,26::0,2200::0,32
DYDROBOON TABLET 10'S,OBGY,STRIP,5::0,162::0,3
DYDROHOPE,OBGY,STRIP,0::5,3::0,0
DYDROPAL,OBGY,STRIP,1::0,43::0,0
DYNA ANKLE IMMOBILISER-UNIVERSAL,ORTH,TAB,0::0,80::0,0
DYNA ARM SLING POUCH-MEDIUM,ORTH,TAB,0::0,16::0,0
DYNA KNEE CAP SIMPLE LARGE,ORTH,PACKET,0::0,1::0,1
DYNA KNEE MEDIUM,ORTH,PACKET,0::0,1::0,0
DYNA SOFT CERVICAL COLLAR LARGE,ORTH,BOX,0::0,1::0,0
DYNA SOFT CERVICAL COLLAR MEDIUM,ORTH,CAP,1::0,3::0,1
DYNAGLIPT M STRIP OF 10 TABLETS,GENERAL MEDICINE,BOX,0::0,1::0,0
DYNAMIC STERIZONE WP PIC WD ST 80 TOPICAL PAD,HOSPITAL CPMH,BOX,0::0,1::0,0
DYNAMIC TOP O PLAST ELASTIC 10 CM X 1/2 M,HOSPITAL CPMH,STRIP,0::0,3::0,0
DYNAPAR AQ 75MG PFS INJ 1ML,GENERAL MEDICINE,BOX,1::0,25::0,1
DYNAPAR AQ PFS,GENERAL MEDICINE,BOX,0::0,2::0,0
DYNAPAR QPS 4 % SPRAY 15 ML,GENERAL MEDICINE,AMPOULE,7::0,60::0,7
DYNAPAR QPS PLUS SOLUTION,GENERAL MEDICINE,INJ,0::0,20::0,0
DYTOR 10MG STRIP OF 15 TABLETS,GENERAL MEDICINE,BOTTLE,3::0,57::0,5
DYTOR 20MG STRIP OF 15 TABLETS,GENERAL MEDICINE,BOTTLE,0::0,4::0,0
DYTOR PLUS 10MG STRIP OF 10 TABLETS,GENERAL MEDICINE,STRIP,2::10,8::0,2
DYTOR PLUS 10MG STRIP OF 15 TABLETS,GENERAL MEDICINE,STRIP,2::0,2::0,2
DYTOR PLUS 5MG TAB 15'S,GENERAL MEDICINE,STRIP,1::0,11::0,0
EBEXID STRIP OF 10 TABLETS,GENERAL MEDICINE,STRIP,2::6,6::0,1
ECG ELECTRODES,HOSPITAL CPMH,STRIP,0::0,2::0,0
ECG LEADS,HOSPITAL CPMH,BANDAGE,89::0,1620::0,231
ECO ALL LIQUID 10*5ML,GENERAL MEDICINE,EASY FIX,0::0,1046::0,0
ECOMERO,GENERAL MEDICINE,STRIP,6::0,15::0,3
ECONORM SACHET OF 6GM POWDER,GENERAL MEDICINE,BOX,4::0,10::0,0
ECOSPRIN 150MG STRIP OF 14 TABLETS,GENERAL MEDICINE,PACKET,773::0,1152::0,713
ECOSPRIN 325MG TABLET,GENERAL MEDICINE,BOTTLE,0::0,18::0,3
ECOSPRIN 75MG STRIP OF 14 TABLETS,GENERAL MEDICINE,INFUSION,0::0,5::0,0
ECOSPRIN AV 150/20MG STRIP OF 10 CAPSULES,GENERAL MEDICINE,SACHET,8::0,218::0,10
ECOSPRIN AV 75/20 MG CAPSULE 15,GENERAL MEDICINE,STRIP,5::6,78::0,6
ECOSPRIN AV 75MG STRIP OF 15 CAPSULES,GENERAL MEDICINE,STRIP,0::9,3::0,1
ECOSPRIN GOLD 10MG STRIP OF 15 CAPSULES,GENERAL MEDICINE,STRIP,5::12,261::0,7
ECOSPRIN GOLD 20MG STRIP OF 15 CAPSULES,GENERAL MEDICINE,STRIP,4::0,5::0,5
EFECTAL-TZ 1000/125 MG INJECTION 1 ML,GENERAL MEDICINE,STRIP,1::0,0::0,0
EFEM 1000MG STRIP OF 10 CAPSULES,GENERAL MEDICINE,STRIP,1::10,39::0,3
EFEM CAPSULE,GENERAL MEDICINE,STRIP,0::5,6::0,2
ELDERVIT 12 INJECTION 1.5ML,GENERAL MEDICINE,STRIP,0::5,3::0,2
ELIWEL 10MG TABLET,GENERAL MEDICINE,INJECTION,0::0,24::0,2
ELTROXIN 25MCG BOTTLE OF 100 TABLETS,GENERAL MEDICINE,STRIP,9::5,178::0,5
ELTROXIN 50MCG BOTTLE OF 120 TABLETS,GENERAL MEDICINE,STRIP,0::0,87::0,0
ELTROXIN 75MCG BOTTLE OF 120 TABLETS,GENERAL MEDICINE,AMPOULE,15::0,182::0,38
EMANZEN D TABLET,GENERAL MEDICINE,PACKET,0::0,5::0,0
EMENORM INJ 2ML,GENERAL MEDICINE,PACKET,6::0,105::0,14
EMESET 2MG INJ 4ML,GENERAL MEDICINE,STRIP,6::4,49::0,3
EMESET 2MG JUICY LEMON FLAV SYRUP 30ML,GENERAL MEDICINE,BOTTLE,0::0,1::0,0
EMESET 2MG/ML INJ 2ML,GENERAL MEDICINE,BOTTLE,0::0,5::0,0
EMESET 4MG TABLET,GENERAL MEDICINE,BOTTLE,1::0,1::0,0
EMILDAP 10/100,GENERAL MEDICINE,STRIP,30::2,1470::0,28
EMILDAP S 10/100,GENERAL MEDICINE,AMPOULE,3::0,31::0,3
EMILDAP S 5/50,GENERAL MEDICINE,VIAL,0::0,20::0,0
EMTY BOTTLE OF 100ML SOLUTION,GENERAL MEDICINE,BOTTLE,0::0,6::0,0
ENCICARB 100MG INJ 2ML,GENERAL MEDICINE,AMPOULE,0::0,20::0,0
ENDOCRYL INJ 1ML,HOSPITAL CPMH,STRIP,0::0,1::0,0
ENDOGEST SR 200MG TABLET,OBGY,TAB,1::0,10::0,1
ENDOPROST 250MCG INJ,OBGY,TAB,5::9,48::0,5
ENDOTRACHEAL TUBE 5.5MM,GENERAL SURGERY,TAB,2::0,7::0,0
ENDOTRACHEAL TUBE 6.0MM,GENERAL SURGERY,BOTTLE,8::0,196::0,8
ENDOTRACHEAL TUBE 8.0MM,GENERAL SURGERY,VIAL,0::0,0::0,0
ENEMA BOTLE,GENERAL MEDICINE,VIAL,1::0,5::0,0
ENERZIP POWDER,GENERAL MEDICINE,STRIP,0::0,1::0,0
ENOXAPARIN 40,GENERAL MEDICINE,INJECTION,3::0,14::0,3
ENTROFLORA SUSPENSION 10*5ML,GENERAL MEDICINE,PACKET,2::0,3::0,0
ENTROFLORA,GENERAL MEDICINE,PACKET,0::0,1::0,0
ENTROGERMINA,GENERAL MEDICINE,PACKET,1::0,3::0,0
ENTROMAX SUSPENSION 5ML,GENERAL MEDICINE,ENEMA,19::0,137::0,12
ENERZIP POWDER,GENERAL MEDICINE,BOX,687::0,12081::0,26
ENOXAPARIN 40,GENERAL MEDICINE,INJ,0::0,6::0,0
ENTROFLORA SUSPENSION 10*5ML,GENERAL MEDICINE,BOTTLE,4::0,86::0,10
ENTROFLORA,GENERAL MEDICINE,SUSPENSION,0::0,115::0,0
ENTROGERMINA,GENERAL MEDICINE,SUSP,0::0,43::0,0
ENTROMAX SUSPENSION 5ML,GENERAL MEDICINE,BOTTLE,1::0,12::0,0
ENZOMAC CM MINI BOTTLE OF 10ML PARTICLES,GENERAL MEDICINE,MINI BOTTLE,1::0,1::0,1
ENZOMAC CM MINI BOTTLE OF 5ML PARTICLES,GENERAL MEDICINE,MINI BOTTLE,1::0,12::0,1
ENZORUX FORTE,GENERAL MEDICINE,TAB,4::5,40::0,1
ENZOX PLUS TABLET,GENERAL MEDICINE,STRIP,9::0,230::0,3
ENZYPLEX STRIP OF 10 TABLETS,GENERAL MEDICINE,STRIP,3::1,77::0,3
EPICETAM VIAL 5 ML,GENERAL MEDICINE,INJ,0::0,30::0,1
EPIDOSIN INJ 1ML,OBGY,VIAL,6::0,35::0,1
EPSOLIN INJECTION,GENERAL MEDICINE,AMPOULE,0::0,0::0,0
EPTOIN INJ AMP,GENERAL MEDICINE,18G,0::0,4::0,0
ERITEL LN 40 MG TAB 15'S,GENERAL MEDICINE,BOX,0::0,3::0,0
ESCEROL INJ,GENERAL MEDICINE,INJECTION,3::0,3::0,3
ESOIN DSR,GENERAL MEDICINE,AMPOULE,5::0,15::0,10
ESOLE 10MG SACHET OF 1GM GRANULES,GENERAL MEDICINE,STRIP,0::0,2::0,0
ESOMAC 20MG STRIP OF 15 TABLETS,GENERAL MEDICINE,INJECTION,97::0,1254::0,0
ESOMAC 40MG STRIP OF 15 TABLETS,GENERAL MEDICINE,CAP,13::9,3849::0,66
ESOMAC IV 40MG VIAL OF 0.04GM POWDER,GENERAL MEDICINE,SACHET,3::0,5::0,0
ESOMORE DSR STRIP OF 10 CAPSULES,GENERAL MEDICINE,STRIP,0::11,6::0,0
ET TUBE 6.5,GENERAL SURGERY,STRIP,0::8,63::0,0
ET TUBE CUFFED NO.7.5,GENERAL SURGERY,VIAL,0::0,120::0,0
ET TUBE CUFFED SIZE 5.0,GENERAL SURGERY,STRIP,0::0,5::0,0
ET TUBE CUFFED SIZE 8.0,GENERAL SURGERY,PACKET,5::0,5::0,5
ET TUBE SIZE 7,GENERAL SURGERY,PACKET,0::0,1::0,0
ETHIBOND SINGAL NEEDLE LS,HOSPITAL CPMH,PACKET,3::0,5::0,2
ETHIBONDSINGAL NEEDLE LS,HOSPITAL CPMH,PACKET,0::0,4::0,3
ETHICON ETHILON USP 1 1/2 CIRCLE,HOSPITAL CPMH,PACKET,2::0,7::0,2
ETHICON VICRYL RAPIDE SUTURES USP 3-0,HOSPITAL CPMH,4845,6::0,6::0,3
ETHILON 1 N W 3348 RB,HOSPITAL CPMH,4842,3::0,3::0,0
ETHILON 1 NW 3347,HOSPITAL CPMH,BOX,4::0,5::0,4
ETHILON 2 0 NW 3336,HOSPITAL CPMH,BOX,3::0,3::0,3
ETHILON 3 0 NW 3321,HOSPITAL CPMH,LOOP,0::0,3::0,0
ETHILON 3 0 NW 3328,HOSPITAL CPMH,BOX,1::0,2::0,1
ETHILON 4 0 NW 3319,HOSPITAL CPMH,BOX,0::0,194::0,21
ETHILON 6 0 NW 3320,HOSPITAL CPMH,BOX,0::0,6::0,0
ETHILON 8 0 NW 3322,HOSPITAL CPMH,BOX,9::0,133::0,11
ETHILON 8 0 NW 3708,HOSPITAL CPMH,BOX,,10::0,4
ETHILON NO 1,HOSPITAL CPMH,BOX,2::0,2::0,2
ETIZOLA 0.25MG STRIP OF 15 TABLETS,GENERAL MEDICINE,BOX,5::0,0::0,5
ETIZOLA 0.5MG STRIP OF 15 TABLETS,GENERAL MEDICINE,BOX,6::0,12::0,6
ETIZOLA PLUS 10MG TABLET,GENERAL MEDICINE,3338,5::0,5::0,5
ETOTREAT P,GENERAL MEDICINE,STRIP,0::0,2::0,0
EUCALYPTUS OIL 15ML,GENERAL MEDICINE,STRIP,0::0,13::0,1
EUMOSONE 0.05% CREAM,GENERAL MEDICINE,STRIP,2::1,26::0,4
EUMOSONE 0.05% TUBE OF 20GM CREAM,GENERAL MEDICINE,TAB,0::0,1::0,0
EUPEN 1GM INJ,GENERAL MEDICINE,BOTTLE,0::0,2::0,0
EUSOL SOLUTION 400ML,HOSPITAL CPMH,TUBE,2::0,4::0,2
EVACEF 1GM INJ,GENERAL MEDICINE,TUBE,2::0,2::0,2
EVATOCIN 5IU INJ 1ML,OBGY,INJECTION,2::0,14::0,2
EVION 400MG CAP 10'S,GENERAL MEDICINE,BOTTLE,7::0,38::0,10
EVION 400MG STRIP OF 20 CAPSULE,GENERAL MEDICINE,INJECTION,0::0,25::0,0
EVRONGEST 200 SR,OBGY,AMPOULE,0::0,30::0,0
EVRONGEST 300 SR,OBGY,STRIP,1::9,51::0,0
EXAMINATION GLOVES LOOSE (M),HOSPITAL CPMH,STRIP,3::15,26::0,4
EXAMINATION GLOVES,HOSPITAL CPMH,TAB,1::0,18::0,1
EXPAVON INF,GENERAL MEDICINE,TAB,0::0,0::0,0
EXTENSION SET 100CM,HOSPITAL CPMH,TAB,2::0,18::0,2
EXTENSION SET 10CM,HOSPITAL CPMH,PACKET,2130::0,23100::0,3017
EXTENSION TUBE,HOSPITAL CPMH,PACKET,4::0,12::0,4
EYELET SOFT COLLAR,ORTH,INJECTION,1::0,16::0,0
EZI HALE STRIP OF 10 CAPSULES,GENERAL MEDICINE,BOX,4::0,11::0,3
EZINAPI PLUS CREAM 10 GM,GENERAL MEDICINE,BOX,2::0,70::0,0
EZINAPI PLUS TUBE OF 10GM CREAM,GENERAL MEDICINE,PACKET,1::0,10::0,1
FACE MASK,HOSPITAL CPMH,200CM,1::0,18::0,5
FACER MR STRIP OF 10 TABLETS,GENERAL MEDICINE,LARGE,1::0,2::0,1
FARLIN BREAST SHIELD,PED,XL,2::0,2::0,2
FAS 3 KIT,GENERAL MEDICINE,STRIP,17::7,18::0,17
FB-RICH,GENERAL MEDICINE,TUBE,1::0,8::0,1
FCF Z TAB 10'S,GENERAL MEDICINE,TUBE,0::0,1::0,0
FEBREX PLUS,GENERAL MEDICINE,BOTTLE,50::0,370::0,0
FEBRINIL INJ 2ML,GENERAL MEDICINE,STRIP,0::0,3::0,0
FEBRINIL INJECTION 20ML,GENERAL MEDICINE,BOX,0::0,4::0,0
FEBUGET 40MG STRIP OF 15 TABLETS,GENERAL MEDICINE,STRIP,3::0,4::0,3
FEBUGET 80MG TABLET,GENERAL MEDICINE,TAB,12::0,12::0,12
FEBUSTAT 80MG STRIP OF 15,GENERAL MEDICINE,STRIP,0::5,200::0,0
FEEDY FEEDING TUBE FG-06,PED SURGERY,TAB,8::6,104::0,3
FEEDY FEEDING TUBE FG-07,PED SURGERY,AMPOULE,0::0,0::0,0
FEEDYB FEEDING TUBE FG-05,PED SURGERY,VIAL,6::0,11::0,6
FEMILON TABLET,OBGY,STRIP,3::0,5::0,2
FERCEE INJ,GENERAL MEDICINE,STRIP,0::0,5::0,0
FERCEE XT TAB 10'S,GENERAL MEDICINE,STRIP,1::4,5::0,0
FERICA XT TOTAL,GENERAL MEDICINE,PACKET,168::0,233::0,159
FERINJECT 500MG INJ 10ML,GENERAL MEDICINE,PACKET,164::0,253::0,150
FEROBACT ER 300MG STRIP OF 6 TABLETS,GENERAL MEDICINE,PACKET,1::0,5::0,1
FEROCAD INJECTION 5 ML,GENERAL MEDICINE,STRIP,5::0,302::0,5
FEROGLEN -FCM,GENERAL MEDICINE,INJECTION,0::0,10::0,3
FERTISURE F TABLET 10'S,OBGY,STRIP,0::8,0::0,0
FERTYL GOLD STRIP OF 15 TABLETS,OBGY,TAB,15::4,638::0,20
FIAXONE 1 GM,GENERAL MEDICINE,INJ,0::0,5::0,0
FICO P STRIP OF 10 TABLETS,GENERAL MEDICINE,VIAL,0::0,1::0,0
FIDNOX 60MG,GENERAL MEDICINE,STRIP,0::0,0::0,0
FIDZEE 250,GENERAL MEDICINE,INJECTION,0::0,10::0,0
FIDZEE 500,GENERAL MEDICINE,INJ,0::0,2::0,2
FINE NERVE STRIP OF 10 TABLETS,GENERAL MEDICINE,STRIP,0::0,3::0,0
FLAGYL 200MG TABLET,GENERAL MEDICINE,STRIP,0::0,2::0,0
FLAGYL 400MG TABLET,GENERAL MEDICINE,INJ,163::0,770::0,0
FLAGYL,GENERAL MEDICINE,STRIP,4::9,25::0,2
FLAMICREPE COTTON CREPE BANDAGE 4M X 15 CM,HOSPITAL CPMH,INJ,0::0,0::0,0
FLAMIGO SKIN TRACTION KIT,ORTH,TAB,,12::0,9
FLAMINGO ARM SLING POUCH LARGE 1'S,ORTH,TAB,2::0,12::0,2
FLAMINGO ARM SLING POUCH MEDIUM 1'S,ORTH,STRIP,0::1,95::0,0
FLAMINGO BASE BALL SPLINT SIZE MEDIUM,ORTH,STRIP,1::12,5::0,0
FLAMINGO CERVICAL COLLAR W/ NECK SUPPORT XL,ORTH,STRIP,2::13,155::0,6
FLAMINGO CLAVICLE,ORTH,SUSP,0::0,5::0,0
FLAMINGO CLAVICLE BRACE LARGE,ORTH,BOX,11::0,153::0,9
FLAMINGO COT SPLINT,ORTH,SET,0::0,1::0,0
FLAMINGO DORSOLUMBER SPINAL BRACE (MEDIUM),ORTH,TAPE,5::0,5::0,5
FLAMINGO ABDOMINAL BELT LARGE 1'S,GENERAL SURGERY,BOX,0::0,13::0,3
FLAMINGO ABDOMINAL BELT MEDIUM,GENERAL SURGERY,BOX,2::0,8::0,4
FLAMINGO ABDOMINAL BELT XL,GENERAL SURGERY,BOX,0::0,20::0,3
FLAMINGO ABDOMINAL BELT XXL,GENERAL SURGERY,BOX,0::0,2::0,0
FLAMINGO ARM SLING POUCH LARGE 1'S,ORTH,PACKET,0::0,3::0,1
FLAMINGO ARM SLING POUCH MEDIUM 1'S,ORTH,PACKET,0::0,3::0,2
FLAMINGO BASE BALL SPLINT SIZE MEDIUM,ORTH,SPLINT,1::0,2::0,1
FLAMINGO CERVICAL COLLAR W/ NECK SUPPORT XL,ORTH,PACKET,2::0,2::0,1
FLAMINGO CLAVICLE,ORTH,PACKET,0::0,1::0,0
FLAMINGO CLAVICLE BRACE LARGE,ORTH,BRACE,0::0,1::0,1
FLAMINGO COT SPLINT,ORTH,BRACE,0::0,3::0,3
FLAMINGO DORSOLUMBER SPINAL BRACE (MEDIUM),ORTH,PACKET,0::0,3::0,3
FLAMINGO COT SPLINT,ORTH,BOX,0::0,1::0,0
FLAMINGO DORSOLUMBER SPINAL BRACE (MEDIUM),ORTH,PACKET,0::0,3::0,0
FLAMINGO ELASTIC KNEE SUPPORT SIZE MEDIUM,ORTH,BRACE,0::0,1::0,0
FLAMINGO FLAMICREPE COTTON 4 M X 10 CM CREPE BANDAGE 1 NO'S,HOSPITAL CPMH,PACKET,0::0,1::0,1
FLAMINGO FLAMICREPE COTTON CREPE BANDAGE 5 CM,HOSPITAL CPMH,COT SPLINT,1::0,2::0,0
FLAMINGO GEL PATELLA L KNEE CAP 1 NO'S,ORTH,COT SPLINT,1::0,2::0,0
FLAMINGO GEL TENNIS ELBOW SUPPORT SIZE LARGE,ORTH,PACKET,5::0,98::0,7
FLAMINGO HINGED KNEE CAP SIZE LARGE,ORTH,PACKET,0::0,1::0,0
FLAMINGO KNEE BRACE LARGE 1'S,ORTH,SPLINT,1::0,2::0,1
FLAMINGO KNEE BRACE SHORT SIZE MEDIUM,ORTH,SPLINT,2::0,2::0,1
FLAMINGO KNEE CAP MEDIUM ONE PAIR,ORTH,BOX,7::0,7::0,7
FLAMINGO KNEE CAP XL ONE PAIR 2'S,ORTH,PACKET,0::0,1::0,0
FLAMINGO PELVIC BINDER - MEDIUM,ORTH,PACKET,2::0,2::0,1
FLAMINGO PELVIC BINDER - SMALL,ORTH,CAP,1::0,2::0,1
FLAMINGO SHOULDER SUPPORT MEDIUM,ORTH,LONG,1::0,4::0,0
FLAMINGO SPOON SPLINT SIZE MEDIUM,ORTH,PACKET,1::0,4::0,0
FLAMINGO THUMB SPICA SPLINT LARGE,ORTH,PACKET,0::0,1::0,1
FLAMINGO THUMB SPICA SPLINT M 1'S,ORTH,PACKET,2::0,3::0,2
FLAMINGO WRIST COCK UP SPLINT MEDIUM,ORTH,BOX,0::0,0::0,0
FLANZEN 10MG STRIP OF 10 TABLETS,GENERAL MEDICINE,PACKET,0::0,8::0,4
FLANZEN 5MG TABLET,GENERAL MEDICINE,PACKET,4::0,6::0,2
FLAZEN TABLET,GENERAL MEDICINE,PACKET,0::0,5::0,2
FLEMICLAV FORTE DRY SYRUP 30ML,GENERAL MEDICINE,PACKET,2::0,3::0,2
FLEXHEAL D,GENERAL MEDICINE,PACKET,1::0,3::0,1
FLOMIST AZ NASAL SPRAY 100 MDI,ENT,BINDER,0::0,2::0,0
FLORA BC DRY SYP,GENERAL MEDICINE,PACKET,1::0,4::0,1
FLORA BC NF STRIP OF 10 CAPSULES,GENERAL MEDICINE,PACKET,0::0,1::0,0
FLOXORIS,GENERAL MEDICINE,IMMOBILISER,0::0,6::0,3
FLUBIGAT EYE DROPS 5ML,ENT,IMMOBILISER,0::0,2::0,0
FLUCAN 200MG CAPSULE,GENERAL MEDICINE,IMMOBILISER,0::0,4::0,2
FLUCOS 0.5% GEL 15GM,GENERAL MEDICINE,SUPPORT,0::0,1::0,1
FLUNARIN 5MG TABLET,GENERAL MEDICINE,IMMOBILISER,0::0,8::0,2
FLUSHIT SYP,GENERAL MEDICINE,PACKET,0::0,1::0,1
FLUTIVATE CREAM 5GM,GENERAL MEDICINE,SPLINT,2::0,2::0,2
FLUTIVIN NASAL SPRAY,ENT,PACKET,2::0,2::0,1
FLYFOL,GENERAL MEDICINE,PACKET,0::0,3::0,0
FLYFOL D,GENERAL MEDICINE,BOX,1::0,4::0,0
FOL 5MG STRIP OF 30 TABLETS,GENERAL MEDICINE,PACKET,0::0,2::0,1
FOLEY CATHETER 10,HOSPITAL CPMH,PLAST,6::0,109::0,14
FOLEY CATHETER NO 20,HOSPITAL CPMH,4.6MTR,8::0,54::0,5
FOLEYS CATHETER NO 18,HOSPITAL CPMH,10CM* 9M,9::0,12::0,9
FOLITRAX 5MG STRIP OF 10 TABLETS,GENERAL MEDICINE,STRIP,0::4,1::0,0
FOLYS CATHETAR,HOSPITAL CPMH,STRIP,0::0,4::0,0
FORCAN 200MG STRIP OF 4 TABLETS,GENERAL MEDICINE,STRIP,0::0,1::0,0
FRACKSTAR,GENERAL MEDICINE,BOTTLE,3::0,3::0,3
FRESOFLOX INF,GENERAL MEDICINE,TAB,11::0,11::0,11
FRISIUM 5MG STRIP OF 15 TABLETS,GENERAL MEDICINE,BOTTLE,0::0,6::0,0
FULSTRCH TP TAB 10'S,GENERAL MEDICINE,BOTTLE,0::0,8::0,0
FUNGICROS CREAM 30GM,GENERAL MEDICINE,STRIP,0::0,51::0,5
FUNGIFORCE 200,GENERAL MEDICINE,IV,0::0,3::0,0
FUR XT STRIP OF 10 TABLETS,GENERAL MEDICINE,BOTTLE,1::0,1::0,1
FUR XT TABLET 15'S,GENERAL MEDICINE,STRIP,1::0,0::0,1
FURIC 40MG STRIP OF 15 TABLETS,GENERAL MEDICINE,TUBE,0::0,1::0,0
G-DRESS SWIMPROOF DRESSING NON WOVEN SWIMPROOF GDSP20,HOSPITAL CPMH,STRIP,0::0,1::0,0
G DRESS COMFY DRESSING 14 X 7 CM WOUND PAD 3 X 10 CM GD15 100 NO'S,HOSPITAL CPMH,SYR,3::0,223::0,11
G DRESS COMFY DRESSING 6 X 5 CM WOUND PAD 2 X 3 CM GD5 250 NO'S,HOSPITAL CPMH,TUBE,1::0,1::0,1
G75 POWDER 75GM,GENERAL MEDICINE,BOTTLE,-1::0,0::0,-1
GABTAN NT,GENERAL MEDICINE,TAB,4::0,20::0,4
GABTIN,GENERAL MEDICINE,CAP,21::4,257::0,11
GABTN,GENERAL MEDICINE,STRIP,3::5,32::0,1
GALACT BOTTLE OF 200GM GRANULES,GENERAL MEDICINE,PACKET,0::0,5::0,0
GAMARCH,GENERAL MEDICINE,PACKET,1::0,5::0,1
GAMINE FORTE CAP 10'S,GENERAL MEDICINE,PACKET,2::0,0::0,2
GAMJEE ROLL 10CM X 3M,HOSPITAL CPMH,STRIP,4::8,7::0,4
GAMJEE ROLL 15CM,HOSPITAL CPMH,CATHER,0::0,17::0,1
GARDENAL 30MG BOTTLE OF 100 TABLETS,GENERAL MEDICINE,CATHATAR,5::0,175::0,6
GASEX ELAICHI FLAV SYP,GENERAL MEDICINE,NO 10,1::0,5::0,1
GASTRACID BOTTLE OF 200ML LIQUID,GENERAL MEDICINE,STRIP,0::3,1::0,0
"GAVISCON LIQUID RELIEF, PEPPERMINT - 150ML",GENERAL MEDICINE,TAB,4::0,620::0,6
GB 29 TOTAL TABLET,GENERAL MEDICINE,INJECTION,0::0,10::0,0
GDRESS 10 8X10CM,HOSPITAL CPMH,STRIP,10::12,15::0,11
GDRESS 15 8X15CM,HOSPITAL CPMH,STRIP,1::0,60::0,1
GDRESS 20 9X20CM,HOSPITAL CPMH,TUBE,0::0,1::0,0
GDRESS 25 9X25CM,HOSPITAL CPMH,TAB,3::0,4::0,3
GELUSIL MPS BOTTLE OF 200ML LIQUID,GENERAL MEDICINE,STRIP,1::5,12::0,1
GELUSIL MPS ORIGINAL MINT FLAVOUR TABLET 10'S,GENERAL MEDICINE,STRIP,0::2,200::0,0
GELUSIL MPS ORIGINAL MINT FLAVOUR TABLET 15'S,GENERAL MEDICINE,STRIP,0::5,2::0,0
GEMCAL CAPSULE,GENERAL MEDICINE,BOX,0::0,30::0,0
GEMCAL XT TAB 15'S,GENERAL MEDICINE,PACKET,0::0,19::0,2
GEMER 1MG STRIP OF 15 TABLETS,GENERAL MEDICINE,PACKET,11::0,300::0,37
