Medicine,Opening Stock,Purchase,Sales,Closing Stock
CIPLADINE BOTTLE OF 10GM POWDER,0::0,0,1,0
EMANZEN D TABLET,36::1,0,1,0::2
FLUSHIT SYP SYR 100ML,9::0,0,1,0
PFANTO D 40MG CAPSULE,39::2,0,0::5,0::6
TAXIM OF TAB 10,49::4,0,0::6,9
TRIS TBR TAB TAB 10 STRIP,7::0,0,1,0::-5
REETAC INJ 2ML,0::0,0,1,0
REETAC INJ 2ML,0::0,0,1,0
ZEMOXY INJ 1.2GM,3::0,0,1,0
DEXALAB INJ,100::0,0,0,28
DISPOVAN SYRINGE 2.5 ML,445::0,0,0,0
DISPOVAN SYRNGE 5ML,738::0,0,0,405
DNS BOTTLE 500 MILLILITRE,88::0,0,0,0
TRAMADOL 100 MG INJECTION 2 ML,92::0,0,0,0
GDRESS 15 8X15CM,25::0,0,1,5
EASY FIX [CLINIPLAST CANNULA FIXATOR BANDAGE 1,198::0,0,1,0
MS SPA 80MG TAB,15::5,0,0::5,0::9
NS 100ML INJECTION 100 MILLILITRE,373::0,0,1,0
POLY POLYMED NON-VENTED POLYFUSION IV INFUSION SET 1 NO'S,0::0,0,1,2
SYLATE T 500MG TABLET,3::5,0,1,0
TRANEMIC 500MG INJ,4::0,0,1,0
ABSOLUT GOLD STRIP OF 10 CAPSULES,9::0,0,1,0
BACTOCLAV 625MG STRIP OF 10 TABLETS,25::4,0,1,0
MS SPA 80MG TAB,15::5,0,1,0::9
CEFTROZY 1000MG VIAL OF 1GM POWDER FOR INJECTION,0::0,0,4,1
NERVIJEN INJ 2ML,6::0,0,1,0
NS 100ML INJECTION 100 MILLILITRE,373::0,0,6,0
NS 500ML INJECTION 500 MILLILITRE,0::0,0,4,0
ONDODER INJ 2ML,63::0,0,4,0
PANTOZEE 40MG INJ,14::0,0,4,0
RL 500ML BOTTLE 500 MILLILITRE,0::0,0,4,0
TRAMADOL 100 MG INJECTION 2 ML,92::0,0,4,0
MOPPING  PAD 1,0::0,10,0,3
TRANDPORE  TAP 2.5CM,0::0,12,0,9
ABSOLUT GOLD STRIP OF 10 CAPSULES,9::0,0,0::5,0
ALLERCET COLD TABLET,52::3,0,1,0::1
BACTOCLAV 625MG STRIP OF 10 TABLETS,25::4,0,0::5,0
CHYMORAL FORTE STRIP OF 20 TABLETS,0::0,0,0::5,0
POVID 10% SOLUTION 100ML,9::0,0,1,1
AMPIROK 375 TAB 10,7::6,0,1,5::6
MONTICOPE A STRIP OF 10 TABLETS,3::8,0,1,0::8
PULMOCARE STRAWBERRY FLAVOUR TIN OF 200GM POWDER,3::0,0,1,0
RESPISMART N  TAB 10S,8::1,0,1,5::9
SPIROMETER,2::0,0,1,0
CYCLOFIT SP TABLET,21::3,0,0,0
BACTOCLAV 625MG STRIP OF 10 TABLETS,25::4,0,1,0
CHYMORAL FORTE STRIP OF 20 TABLETS,0::0,0,0::10,0
ESOIN DSR CAP 10S,0::0,0,1,0
CONOS SF SYP 100ML,2::0,0,1,1
ENZOX PLUS TABLET,14::0,0,1,0
ANAWIN HEAVY INJ 4ML,21::0,0,1,1
CLONEON 150MCG INJ 1ML,4::0,0,1,1
COTTON BANDAGE 15CMX9M,13::0,0,1,0
DEXTOMID 100MCG INJ,0::0,0,1,0
DISPOVAN SYRINGE 10ML,414::0,0,5,0
DISPOVAN SYRINGE 2.5 ML,445::0,0,5,0
DISPOVAN SYRNGE 5ML,738::0,0,5,405
NUZORB  TAB 2 GM,0::5,0,0::5,5::10
ESOIN DSR CAP 10S,133::7,0,0::5,0
ULTRAHEAL TAB TAB 10,0::0,0,0::5,17::2
NISE AP TAB 10S,8::2,0,0::1,6::6
POLY POLYMED NON-VENTED POLYFUSION IV INFUSION SET 1 NO'S,128::0,0,1,2
ENERZIP POWDER,394::0,0,4,26
ULTRAKING  TAB 15S,12::5,0,0::5,0::1
RL 500ML BOTTLE 500 MILLILITRE,58::0,0,0,0
ZADY 500MG STRIP OF 5 TABLETS,6::0,0,0::3,0
IBUGESIC PLUS STRIP OF 20 TABLETS STRIP 20 STRIP,1::17,0,0::3,0::9
MONTICOPE TABLET,0::3,0,0::2,0
ENERZIP POWDER,394::0,0,5,26
MS SPA 80MG TAB,14::8,0,1,0::9
3 WAY STOP COCK 1'S,88::0,0,1,10
CEFTROZY 1000MG VIAL OF 1GM POWDER FOR INJECTION,413::0,0,6,1
DISPOVAN SYRINGE 10ML,273::0,0,3,0
DISPOVAN SYRINGE 2.5 ML,326::0,0,2,0
DISPOVAN SYRNGE 5ML,666::0,0,3,405
DNS BOTTLE 500 MILLILITRE,39::0,0,3,0
EASY FIX [CLINIPLAST CANNULA FIXATOR BANDAGE 1,92::0,0,1,0
KITKATH+ IV CANNULA WITH INJECTION PORT 20G,96::0,0,1,0
NEEDLE NO.18*1.5,0::0,0,4,0
NS 100ML INJECTION 100 MILLILITRE,147::0,0,10,0
ONDODER INJ 2ML,0::0,0,6,0
PANTORIDE INJ 40MG,0::0,0,6,1
POLY POLYMED NON-VENTED POLYFUSION IV INFUSION SET 1 NO'S,128::0,0,2,2
RL 500ML BOTTLE 500 MILLILITRE,57::0,0,3,0
CLARIBID 500MG STRIP OF 10 TABLETS,0::0,3,0,0
DOLO 650MG STRIP OF 15 TABLETS,0::11,6,0,0
NUFORCE SOAP 75GM,0::0,2,0,0
NUFORCE SOAP 75GM,0::0,1,0,0
TERBINAFORCE 1% DUSTING POWDER 30GM,0::0,2,0,0
VEINFLUX FILL PARTICALS 5ML,0::0,1,0,0
IMVITA PROTIN  POWDER 200GM,65::0,0,1,11
LEVOFLOX 500MG TABLET,4::0,0,0::5,2::1
WARF 3MG TABLET 30'S,0::0,0,0::5,0::5
ELDERVIT 12 INJECTION 1.5ML,0::0,0,5,0
ELDERVIT 12 INJECTION 1.5ML,0::0,15,0,0
ALLERCET COLD TABLET,0::0,0,1::5,0::2
BLUVIT CZ STRIP OF 15 CHEWABLE TABLETS,6::5,0,0::10,0
IMFIT TAB,35::3,0,1,28::6
ZENFLOX PLUS 200MG TABLET,0::0,0,1,0
COR 3D CAP 10'S,5::0,0,1,0
DOXINATE 24 TABLET 15'S,7::10,0,1::5,0
DROGYNA STRIP OF 10 TABLETS TAB 10,11::0,0,4,0
GRANIFORCE MD TABLET,0::0,0,2,0
MINAGEST 200MG CAPSULE,75::3,0,2,47::8
MEFTAL FORTE TAB 10S,0::0,0,0::5,0
PANEASE DSR CAP 10S,0::0,0,0::5,0
TAXIM OF TAB 10,38::8,0,0::6,9
ULTRAKING  TAB 15S,12::5,0,0::5,0::1
MACPEE 25MG TABLET,0::0,0,0::5,0
MS SPA 80MG TAB,14::8,0,0::5,0::9
ZENFLOX UTI TABLET,0::0,0,0::5,0::3
CLARIBID 500MG STRIP OF 10 TABLETS,3::5,0,0::7,0
ESOIN DSR CAP 10S,133::7,0,1,0
GLENPAR 650 MG TABLET 10,0::3,0,1,0
ONFUROX 500 MG TAB 10S,36::0,0,1,0
BECOZINC  CAP 30S,0::0,0,0::5,0
PEDIA DRIP PEDIATRIC MEASURED VOLUME IV SET SS-3058,6::0,0,1,3
ZEMOXY INJ 1.2GM,50::0,0,3,0
CHYMOTAS FORTE TABLET,0::0,0,0::5,0
CYCLOFIT SP TABLET,0::0,0,0::5,0
INSTACAL K27 TAB 10,14::0,0,0::5,0
FLAMINGO FLAMICREPE COTTON 4 M X 10 CM CREPE BANDAGE 1 NO'S,10::0,0,1,1
BACTOCLAV 625MG STRIP OF 10 TABLETS,9::3,0,1,0::-2
CHYMOTAS FORTE TABLET,0::0,0,0::10,0
CIPLADINE BOTTLE OF 10GM POWDER,0::0,0,1,4
NE-NORM  TAB 15S,2::5,0,0::10,0::5
NUROKIND GOLD RF STRIP OF 10 CAPSULES,0::0,0,1,0
AVIL 25MG STRIP OF 15 TABLETS,2::0,0,0::10,0::10
BETADINE 2% GARGLE BIG MINT 100ML,0::0,0,1,0
AMITAZ 500 INJ 2ML,7::0,15,0,0
FLAMICREPE COTTON CREPE BANDAGE 4M X 15 CM,0::0,10,0,0
LASIX INJ 4ML,0::0,30,0,13
MASK REGULAR MASK 1,26::0,300,0,114
NEOROF 1% INJ 10ML,0::0,10,0,0
NS 100ML INJECTION 100 MILLILITRE,0::0,420,0,1
NS 500ML INJECTION 500 MILLILITRE,0::0,150,0,17
RL 500ML BOTTLE 500 MILLILITRE,0::0,125,0,0
SERJUN POWDER FREE GLOUSE 6.5,0::0,10,0,0
SPINAL  NEEDLE 25G,0::0,10,0,3
SURGICAL GLOVES LATEX POWDER FREE,0::0,50,0,3
VICRYL PLUS 1 VP 2421,0::0,5,0,3
ZED KIT 1 SET,0::0,3,0,3
VICRYL 0 VP 2534 1'S,0::0,0,3,2
CANDID POWDER - 50GM,0::0,0,1,0
CIR BED BATH WIPES 10S,0::0,0,1,11
DISPOVAN SYRINGE 2.5 ML,326::0,0,2,0
MONOCEF 500MG VIAL OF 0.5GM POWDER FOR INJECTION,16::0,0,3,7
NEEDLE NO.24*1,5::0,0,2,0
NS 500ML INJECTION 500 MILLILITRE,0::0,0,1,0
ONDODER INJ 2ML,0::0,0,2,0
PANTORIDE INJ 40MG,0::0,0,2,1
RL 500ML BOTTLE 500 MILLILITRE,57::0,0,1,0
TRAMADOL 100 MG INJECTION 2 ML,0::0,0,2,0
CALDIKIND PLUS STRIP OF 10 CAPSULES,0::0,0,1,0
ULTRAHEAL TAB TAB 10,0::0,0,1,17::2
CEFTROZY 1000MG VIAL OF 1GM POWDER FOR INJECTION,413::0,0,0,1
DISPOVAN SYRINGE 10ML,273::0,0,0,0
DISPOVAN SYRINGE 2.5 ML,326::0,0,0,0
DISPOVAN SYRNGE 5ML,666::0,0,0,405
LASIX INJ 4ML,14::0,0,0,6
LOWCAP 40MG INJECTION,12::0,0,0,3
NEEDLE NO.18*1.5,0::0,0,0,0
NEOMOL INJ 100ML,47::0,0,0,0
NS 100ML INJECTION 100 MILLILITRE,147::0,0,0,0
ONDODER INJ 2ML,0::0,0,0,0
ONDODER INJ 2ML,0::0,0,0,0
RL 500ML BOTTLE 500 MILLILITRE,57::0,0,0,0
ARGIHOPE 1000MG TABLET,0::0,0,1,0
LABEBET 100MG TABLET,0::0,0,1,4::5
PANEASE DSR CAP 10S,0::0,0,0::1,0
CEFTROZY 1000MG VIAL OF 1GM POWDER FOR INJECTION,413::0,0,2,1
EASY FIX [CLINIPLAST CANNULA FIXATOR BANDAGE 1,92::0,0,2,0
GDRESS 20 9X20CM,18::0,0,3,13
KITKATH+ IV CANNULA WITH INJECTION PORT 22G,49::0,0,2,1
NEOMOL INJ 100ML,47::0,0,2,0
NS 100ML INJECTION 100 MILLILITRE,0::0,0,4,0
NS 500ML INJECTION 500 MILLILITRE,0::0,0,2,0
PANTORIDE INJ 40MG,0::0,0,2,1
POLY POLYMED NON-VENTED POLYFUSION IV INFUSION SET 1 NO'S,128::0,0,1,2
TRAMADOL 100 MG INJECTION 2 ML,0::0,0,3,0
CEFTROZY 1000MG VIAL OF 1GM POWDER FOR INJECTION,413::0,0,3,1
ELDERVIT 12 INJECTION 1.5ML,0::0,0,2,0
IVCROS INJ,10::0,0,0,0
NS 100ML INJECTION 100 MILLILITRE,147::0,0,6,0
ONDODER INJ 2ML,0::0,0,4,0
PANTORIDE INJ 40MG,0::0,0,2,1
POLY POLYMED NON-VENTED POLYFUSION IV INFUSION SET 1 NO'S,128::0,0,2,2
TUSQ DX COUGH SYRUP 100ML,5::0,0,1,0
GLENPAR 650 MG TABLET 10,0::3,0,0::5,0
NEOMOL INJ 100ML,47::0,0,2,0
NEOMOL INJ 100ML,47::0,0,2,0
ULYSES 300MG STRIP OF 15 TABLETS,3::0,0,0::10,0
BRUTAFLAM MR 4MG STRIP OF 10 TABLETS,0::0,0,0::5,0
HETRODOX LB CAP 10S,0::0,0,0::5,6
VERTEFLEX 10 10,8::5,0,0::5,3::9
ACICA SP TAB 10,0::3,0,0::2,0::1
CARILITE  SYP 200ML,5::0,0,1,6
ESOIN DSR CAP 10S,133::7,0,1,0
NORFLOX TZ RF STRIP OF 10 TABLETS,2::0,0,1,0
TRAMADIN PLUS TAB 10'S,0::0,0,1,0::1
CEFTROZY 1000MG VIAL OF 1GM POWDER FOR INJECTION,413::0,0,3,1
NEOMOL INJ 100ML,47::0,0,3,0
NS 100ML INJECTION 100 MILLILITRE,147::0,0,6,0
ONDODER INJ 2ML,0::0,0,3,0
PANTORIDE INJ 40MG,0::0,0,3,1
BLOOD SET POLYMED BLOOD SET 1,36::0,0,0,19
DEXALAB INJ,88::0,0,0,28
DISPOVAN SYRINGE 2.5 ML,326::0,0,0,0
LASIX INJ 4ML,14::0,0,0,6
ADULT DIAPER PULL UPS MEDIUM DIAPER 1 PACKET 1 PACKET,-4::0,0,1,-1
CIPLOX D E/E DROPS,0::0,5,0,5
EFEM 1000MG STRIP OF 10 CAPSULES,0::0,5,0,0
GERBISA 5MG TABLET,0::0,2,0,0
LEVOFLOX 500MG TABLET,4::0,10,0,2::1
LIV 52 SYP 100ML,0::0,1,0,0
SOFRAMYCIN SKIN CREAM 30GM,0::0,5,0,0
ZENFLOX UTI TABLET,0::0,5,0,0
POLY POLYMED NON-VENTED POLYFUSION IV INFUSION SET 1 NO'S,128::0,0,2,2
3 WAY STOP COCK 1'S,88::0,0,1,10
DISPOVAN SYRINGE 10ML,273::0,0,2,0
DISPOVAN SYRINGE 2.5 ML,326::0,0,2,0
DISPOVAN SYRNGE 5ML,666::0,0,2,405
EASY FIX [CLINIPLAST CANNULA FIXATOR BANDAGE 1,92::0,0,1,0
EXAMINATION GLOVES LOOSE (M),0::0,0,10,380
KITKATH+ IV CANNULA WITH INJECTION PORT 22G,49::0,0,1,1
MONOCEF 500MG VIAL OF 0.5GM POWDER FOR INJECTION,2::0,0,2,0
NEOMOL INJ 100ML,47::0,0,1,0
NS 500ML INJECTION 500 MILLILITRE,0::0,0,1,0
ONDODER INJ 2ML,0::0,0,1,0
PANTORIDE INJ 40MG,0::0,0,1,1
PEDIA DRIP PEDIATRIC MEASURED VOLUME IV SET SS-3058,6::0,0,1,3
TRAMADOL 100 MG INJECTION 2 ML,0::0,0,2,0
3 WAY STOP COCK 1'S,88::0,0,1,10
CEFTROZY 1000MG VIAL OF 1GM POWDER FOR INJECTION,413::0,0,4,1
DISPOVAN SYRINGE 10ML,273::0,0,2,0
DISPOVAN SYRINGE 2.5 ML,326::0,0,2,0
DISPOVAN SYRNGE 5ML,666::0,0,2,405
EASY FIX [CLINIPLAST CANNULA FIXATOR BANDAGE 1,92::0,0,1,0
ELDERVIT 12 INJECTION 1.5ML,0::0,0,3,0
IVCROS INJ,10::0,0,4,0
KITKATH+ IV CANNULA WITH INJECTION PORT 20G,96::0,0,1,0
NS 100ML INJECTION 100 MILLILITRE,0::0,0,8,0
NS 500ML INJECTION 500 MILLILITRE,0::0,0,3,0
ONDODER INJ 2ML,0::0,0,4,0
PANTORIDE INJ 40MG,0::0,0,4,1
RL 500ML BOTTLE 500 MILLILITRE,58::0,0,3,0
BACTOCLAV 375MG STRIP OF 10 TABLETS,0::0,6,0,0::4
CHYMORAL FORTE STRIP OF 20 TABLETS,0::0,2,0,0
CONOS SF SYP 100ML,6::0,4,0,1
DFO GEL 30GM,0::0,2,0,1
DUPHALAC SOLUTION 250ML,0::0,1,0,0
FEBREX PLUS TAB 15,0::0,7,0,1::13
HUCOG 10000IU INJECTION,0::0,1,0,0
MAGNATUSS T  SYP 100 ML,0::0,6,0,0
MS SPA 80MG TAB,14::8,6,0,0::9
NASOCLEAR NASAL WASH SACHETS,0::0,2,0,1
ONDEM SYP,2::0,2,0,1
TUSQ DX COUGH SYRUP 100ML,5::0,0,1,0
GERBISA 5MG TABLET,2::2,0,2,0
G DRESS COMFY DRESSING 14 X 7 CM WOUND PAD 3 X 10 CM GD15 100 NO'S,14::0,0,1,37
PRO-EASE PADS XL,7::0,0,1,6
A TO Z NS STRAWBERRY FLAVOUR BOTTLE OF 15ML DROPS,5::0,0,1,0
BLUVIT D3 BOTTLE OF 30ML ORAL DROPS,2::0,0,1,0
ALLERCET COLD TABLET,0::0,0,1::5,0::2
ESOIN DSR CAP 10S,133::7,0,1,0
IMVITA PROTIN  POWDER 200GM,65::0,0,1,11
MONTICOPE A STRIP OF 10 TABLETS,4::0,0,1,0::9
TUSQ X BOTTLE OF 100ML EXPECTORANT,0::0,0,1,3
ZENFLOX PLUS 200MG TABLET,0::0,0,1,0
CEFTROZY 1000MG VIAL OF 1GM POWDER FOR INJECTION,413::0,0,0,1
DISPOVAN SYRINGE 10ML,273::0,0,0,0
DISPOVAN SYRINGE 2.5 ML,326::0,0,0,0
KITKATH+ IV CANNULA WITH INJECTION PORT 20G,96::0,0,0,0
NEEDLE NO.18*1.5,0::0,0,0,0
NS 100ML INJECTION 100 MILLILITRE,0::0,0,0,0
NS 500ML INJECTION 500 MILLILITRE,0::0,0,0,0
ONDODER INJ 2ML,0::0,0,0,0
PANTORIDE INJ 40MG,0::0,0,0,1
RL 500ML BOTTLE 500 MILLILITRE,58::0,0,0,0
PAUSE MF STRIP OF 10 TABLETS,2::2,0,0::5,0
GERIPOD 8MG CAPSULE,0::5,0,1,0
STON 1B6 1100/375MG BOTTLE OF 200ML SOLUTION,6::0,0,1,0
STONVIL CAPSULE,0::0,0,2,0
TRAMADIN PLUS TAB 10'S,0::0,0,1,0::1
ZENFLOX UTI TABLET,0::0,0,1,0::3
CALDIKIND PLUS STRIP OF 10 CAPSULES,0::0,0,0::5,0
ESOIN DSR CAP 10S,133::7,0,1,0
ONFUROX 500 MG TAB 10S,36::0,0,1,0
ULTRAHEAL TAB TAB 10,0::0,0,1,17::2
PAN MPS BOTTLE OF 200ML SUSPENSION,0::0,0,1,0
NASAL CANNULA ADULT,5::0,0,1,2
HEALTH OK BOTTLE OF 200ML SYRUP,0::0,0,1,72
TRICIUM XT BOTTLE OF 30 TABLETS,8::0,0,1,0
TENOBEL TAB 10S,6::0,0,1,6::5
CRISANTA LS TABLET,4::0,0,1,0
EFEM 1000MG STRIP OF 10 CAPSULES,11::5,0,2,4::5
TRICIUM XT BOTTLE OF 30 TABLETS,8::0,0,1,0
DISPOSABLE NEEDAL 18G 1TW,39::0,0,1,38
NEEDLE NO.26*1/2,78::0,0,1,30
ROTAHALER 1'S,0::0,0,1,0
NISE AP TAB 10S,8::2,0,0::2,6::6
ACICA SP TAB 10,23::5,0,1,7::9
DYNAPAR QPS 4 % SPRAY 15 ML,0::0,0,1,0
ZENFLOX UTI TABLET,0::0,0,1,0::3
ECOSPRIN 150MG STRIP OF 14 TABLETS,0::0,0,0::5,1::13
TRAMADIN PLUS TAB 10'S,0::0,0,0::5,0::1
VEINFLUX NC  TAB 10,0::0,0,0::5,2
VEINFLUX SWH GEL 50GM,1::0,0,1,0
BRUTAFLAM MR 4MG STRIP OF 10 TABLETS,0::0,0,0::5,0
CALDIKIND PLUS STRIP OF 10 CAPSULES,0::0,0,0::5,0
ESOIN DSR CAP 10S,133::7,0,0::5,0
MICROCID SR 75MG CAPSULE,0::0,0,0::5,0::4
REBONAGE TAB 10S,5::5,0,0::5,0
VERTEFLEX 10 10,8::5,0,0::5,3::9
ESOIN DSR CAP 10S,133::7,0,1,0
LEVOFLOX 500MG TABLET,4::0,0,1,2::1
TENOBEL TAB 10S,6::0,0,1,6::5
TRAMADIN PLUS TAB 10'S,0::0,0,1,0::1
ULTRAHEAL TAB TAB 10,0::0,0,1,17::2
AVIL  INJ 2ML INJ 2ML AMPULS,0::0,0,2,0
BLOOD SET POLYMED BLOOD SET 1,36::0,0,1,19
DISPOVAN SYRINGE 2.5 ML,326::0,0,4,0
EASY FIX [CLINIPLAST CANNULA FIXATOR BANDAGE 1,92::0,0,1,0
EXAMINATION GLOVES LOOSE (M),0::0,0,10,380
KITKATH+ IV CANNULA WITH INJECTION PORT 20G,96::0,0,1,0
LASIX INJ 4ML,14::0,0,2,6
ACICA SP TAB 10,23::5,0,1,7::9
ARACHITOL 6LAC INJ 1*6,7::0,0,1,0
BACTOCLAV 625MG STRIP OF 10 TABLETS,9::3,0,1,0::-2
ESOIN DSR CAP 10S,133::7,0,1,0
INSTACAL K27 TAB 10,14::0,0,1::5,0
RAMADINE 10% SOLU 100ML,0::0,5,0,0
VICRYL 0 VP 2534 1'S,0::0,5,0,2
NS 100ML INJECTION 100 MILLILITRE,0::0,0,0,0
KITKATH+ IV CANNULA WITH INJECTION PORT 22G,49::0,0,1,1
CIPLADINE 5% OINT 10GM,0::0,0,1,0
ONFUROX 500 MG TAB 10S,36::0,0,0::5,0
TRAMADIN PLUS TAB 10'S,0::0,0,0::5,0::1
ULTRAHEAL TAB TAB 10,0::0,0,0::5,17::2
LOWCAP 60MG INJ,11::0,0,1,0
GDRESS 25 9X25CM,15::0,0,1,2
CEFUMERI 500 TAB 10S,0::0,12,0,1::5
NE-NORM  TAB 15S,0::0,12,0,11
NISE AP TAB 10S,8::2,0,0::2,6::6
ENZORUX FORTE  TAB 10S,2::0,0,1,0
VEINFLUX NC  TAB 10,0::0,0,1,2
MASK REGULAR MASK 1,26::0,0,4,114
GRANIFORCE MD TABLET,0::0,0,1,0
ECOSPRIN AV 150/20MG STRIP OF 10 CAPSULES,0::0,0,0,1
BLUVIT CZ STRIP OF 15 CHEWABLE TABLETS,6::5,0,0::10,0
MEFTAL FORTE TAB 10S,0::0,0,1,0
PANEASE DSR CAP 10S,2::5,0,1,8
SYLATE T 500MG TABLET,4::2,0,1,0
TAXIM O 200MG TABLET,0::0,0,1,1
ACICA MR TAB 10S,22::4,0,1,20::6
CALDIKIND PLUS STRIP OF 10 CAPSULES,0::0,0,1,0
CLARIBID 500MG STRIP OF 10 TABLETS,3::5,0,1,0
ECOSPRIN AV 150/20MG STRIP OF 10 CAPSULES,0::0,0,1,1
ESOIN DSR CAP 10S,133::7,0,1,0
LEVOFLOX 500MG TABLET,4::0,0,1,2::1
ONFUROX 500 MG TAB 10S,36::0,0,1,0
ULTRAHEAL TAB TAB 10,0::0,0,1,17::2
ALLERCET COLD TABLET,0::0,0,2,0::2
ANAFORTAN STRIP OF 15 TABLETS,0::0,0,0::5,0
ENERZIP POWDER,394::0,0,5,26
ALLERCET COLD TABLET,0::0,0,1::5,0::2
BLUVIT CZ STRIP OF 15 CHEWABLE TABLETS,6::5,0,0::10,0
ESOIN DSR CAP 10S,133::7,0,1,0
HETRODOX LB CAP 10S,0::0,0,1,6
DEXALAB INJ,88::0,0,1,28
HUMAN ACTRAPID 100IU INJ 10ML,0::0,0,1,0
INSULIN SYRINGE 31G X 6 MM U-40 (PACK 10) 324902,0::0,0,1,3
ADULT DIAPER PULL UPS MEDIUM DIAPER 1 PACKET 1 PACKET,0::0,0,3,3
CIR BED BATH WIPES 10S,15::0,0,1,3
EXAMINATION GLOVES LOOSE (M),0::0,0,20,380
3 WAY STOP COCK 1'S,88::0,0,1,10
AVIL  INJ 2ML INJ 2ML AMPULS,0::0,0,1,0
CEFTROZY 1000MG VIAL OF 1GM POWDER FOR INJECTION,413::0,0,3,1
DEXALAB INJ,88::0,0,1,28
DISPOVAN SYRINGE 10ML,273::0,0,1,0
DISPOVAN SYRINGE 2.5 ML,326::0,0,1,0
DISPOVAN SYRNGE 5ML,666::0,0,1,405
EASY FIX [CLINIPLAST CANNULA FIXATOR BANDAGE 1,92::0,0,1,0
EXAMINATION GLOVES LOOSE (M),0::0,0,10,380
FOLYS CATHATER NO 14 CATHATAR 1,0::0,0,1,1
KITKATH+ IV CANNULA WITH INJECTION PORT 20G,96::0,0,1,0
NS 100ML INJECTION 100 MILLILITRE,0::0,0,6,0
ONDODER INJ 2ML,0::0,0,3,0
PANTORIDE INJ 40MG,0::0,0,3,1
POLY POLYMED NON-VENTED POLYFUSION IV INFUSION SET 1 NO'S,128::0,0,2,2
RAZORS GALANT 1,25::0,0,1,6
URO BAG 10,25::0,0,1,9
WATER FOR INJ 10ML,18::0,0,6,0
CEFTROZY 1000MG VIAL OF 1GM POWDER FOR INJECTION,413::0,0,3,1
DISPOVAN SYRINGE 10ML,273::0,0,3,0
DISPOVAN SYRINGE 2.5 ML,326::0,0,3,0
LASIX INJ 4ML,14::0,0,2,6
NEEDLE NO.18*1.5,0::0,0,2,0
NS 100ML INJECTION 100 MILLILITRE,0::0,0,6,0
NS 500ML INJECTION 500 MILLILITRE,0::0,0,3,0
ONDODER INJ 2ML,0::0,0,3,0
PANTORIDE INJ 40MG,0::0,0,3,1
RL 500ML BOTTLE 500 MILLILITRE,58::0,0,3,0
TRAMADOL 100 MG INJECTION 2 ML,0::0,0,3,0
KITKATH+ IV CANNULA WITH INJECTION PORT 20G,96::0,0,0,0
KITKATH+ IV CANNULA WITH INJECTION PORT 22G,49::0,0,1,1
GLYCOMET GP 2/500MG TABLET SR 15'S,0::0,0,1,0
TELMIKIND 40MG STRIP OF 10 TABLETS,0::0,0,1,0
3 WAY STOP COCK 1'S,88::0,0,1,10
BUSCOGEN INJ 1ML,15::0,0,1,0
DISPOVAN SYRINGE 10ML,273::0,0,2,0
DISPOVAN SYRINGE 2.5 ML,326::0,0,2,0
EASY FIX [CLINIPLAST CANNULA FIXATOR BANDAGE 1,92::0,0,1,0
EVACEF 1GM INJ,10::0,0,1,0
EXAMINATION GLOVES LOOSE (M),0::0,0,10,380
GENTAVEE 2ML INJ AMP,99::0,0,1,52
KITKATH+ IV CANNULA WITH INJECTION PORT 20G,96::0,0,1,0
METERKEM IV BOTTLE OF 100ML INFUSION,47::0,0,1,0
NS 100ML INJECTION 100 MILLILITRE,0::0,0,4,0
NS 500ML INJECTION 500 MILLILITRE,0::0,0,2,0
POLY POLYMED NON-VENTED POLYFUSION IV INFUSION SET 1 NO'S,128::0,0,2,2
RAZORS GALANT 1,25::0,0,1,6
REETAC INJ 2ML,85::0,0,1,0
REGLAN INJ AMP,1::0,0,1,0
RL 500ML BOTTLE 500 MILLILITRE,58::0,0,2,0
TRANEMIC 500MG INJ,9::0,0,2,0
BACTOCLAV 375MG STRIP OF 10 TABLETS,0::4,0,0::2,0::2
BACTOCLAV 625MG STRIP OF 10 TABLETS,9::3,0,0,0::-2
ACICA SP TAB 10,23::5,0,1,7::9
BECOZINC  CAP 30S,4::20,0,0::5,0
CIPLOX 0.3% E/E DROPS 10ML,0::0,0,1,0
CIPLOX 0.3% E/E DROPS 10ML,0::0,0,1,0
MONTAIR LC TABLET 15'S,0::10,0,0::5,0::5
ONDEM 4MG TABLET,0::0,0,0::5,1::5
ACICA SP TAB 10,23::5,0,1,7::9
ESOIN DSR CAP 10S,133::7,0,1,0
MS SPA 80MG TAB,14::8,0,1,0::9
ZENFLOX PLUS 200MG TABLET,0::0,0,1,0
DFO GEL 30GM,0::0,0,1,0
ENZOX PLUS TABLET,0::0,0,1,0
PAN MPS BOTTLE OF 200ML SUSPENSION,0::0,0,1,0
DFO GEL 30GM,0::0,0,1,0
PAN 40MG STRIP OF 15 TABLETS,0::0,0,0::10,0
THIOFORD AP TAB,0::0,0,1,1
ACICA SP TAB 10,23::5,0,1,7::9
CIPLOX D E/E DROPS,3::0,0,1,1
ONFUROX 250MG TAB 10S,0::0,0,1,2::5
SOLIWAX EAR DROPS,2::0,0,1,0
HUCOG 10000IU INJECTION,1::0,0,1,0
ARGIHOPE 1000MG TABLET,0::0,0,3,0
HEALTH OK BOTTLE OF 200ML SYRUP,0::0,0,1,0
DISPOVAN SYRINGE 10ML,273::0,0,2,0
DISPOVAN SYRNGE 5ML,666::0,0,2,405
GERMBETA BOTTLE OF 100ML SOLUTION,35::0,0,2,0
HETROFOL 100 INJ 10ML,3::0,0,2,3
HETROFOL INJ 200MG,8::0,0,1,0
